Index,Date,Tenbin,Minute,Hits,Misses
300,2024-05-16,1840,5,960,0
301,2024-05-16,1840,6,888,0
302,2024-05-16,1840,7,1026,0
303,2024-05-16,1840,8,969,0
304,2024-05-16,1840,9,930,0
305,2024-05-16,1850,0,965,0
306,2024-05-16,1850,1,926,0
307,2024-05-16,1850,2,946,0
308,2024-05-16,1850,3,918,0
309,2024-05-16,1850,4,934,0
310,2024-05-16,1850,5,1194,0
311,2024-05-16,1850,6,985,0
312,2024-05-16,1850,7,887,0
313,2024-05-16,1850,8,972,0
314,2024-05-16,1850,9,1056,0
315,2024-05-16,1900,0,981,0
316,2024-05-16,1900,1,927,0
317,2024-05-16,1900,2,840,0
318,2024-05-16,1900,3,1279,0
319,2024-05-16,1900,4,949,0
320,2024-05-16,1900,5,887,0
321,2024-05-16,1900,6,880,0
322,2024-05-16,1900,7,843,0
323,2024-05-16,1900,8,1014,0
324,2024-05-16,1900,9,986,0
325,2024-05-16,1910,0,952,0
326,2024-05-16,1910,1,1122,0
327,2024-05-16,1910,2,1264,0
328,2024-05-16,1910,3,982,0
329,2024-05-16,1910,4,1045,0
330,2024-05-16,1910,5,1045,0
331,2024-05-16,1910,6,1270,0
332,2024-05-16,1910,7,1891,0
333,2024-05-16,1910,8,1639,0
334,2024-05-16,1910,9,1338,0
335,2024-05-16,1920,0,1442,0
336,2024-05-16,1920,1,1502,0
337,2024-05-16,1920,2,1442,0
338,2024-05-16,1920,3,1472,0
339,2024-05-16,1920,4,1345,0
340,2024-05-16,1920,5,1322,0
341,2024-05-16,1920,6,1327,0
342,2024-05-16,1920,7,2043,0
343,2024-05-16,1920,8,1288,0
344,2024-05-16,1920,9,1121,0
345,2024-05-16,1930,0,1150,0
346,2024-05-16,1930,1,1164,0
347,2024-05-16,1930,2,1149,0
348,2024-05-16,1930,3,1107,0
349,2024-05-16,1930,4,1102,0
350,2024-05-16,1930,5,1452,0
351,2024-05-16,1930,6,1186,0
352,2024-05-16,1930,7,1364,0
353,2024-05-16,1930,8,1814,0
354,2024-05-16,1930,9,2265,0
355,2024-05-16,1940,0,1721,0
356,2024-05-16,1940,1,1467,0
357,2024-05-16,1940,2,1492,0
358,2024-05-16,1940,3,1212,0
359,2024-05-16,1940,4,1164,0
360,2024-05-16,1940,5,1102,0
361,2024-05-16,1940,6,1271,0
362,2024-05-16,1940,7,1321,0
363,2024-05-16,1940,8,1267,0
364,2024-05-16,1940,9,1175,0
365,2024-05-16,1950,0,1345,0
366,2024-05-16,1950,1,1354,0
367,2024-05-16,1950,2,1292,0
368,2024-05-16,1950,3,1427,0
369,2024-05-16,1950,4,1279,0
370,2024-05-16,1950,5,1264,0
371,2024-05-16,1950,6,1292,0
372,2024-05-16,1950,7,1266,0
373,2024-05-16,1950,8,1129,0
374,2024-05-16,1950,9,1250,0
375,2024-05-16,2000,0,1196,0
376,2024-05-16,2000,1,1236,0
377,2024-05-16,2000,2,1114,0
378,2024-05-16,2000,3,1328,0
379,2024-05-16,2000,4,1289,0
380,2024-05-16,2000,5,1158,0
381,2024-05-16,2000,6,1148,0
382,2024-05-16,2000,7,1252,0
383,2024-05-16,2000,8,1136,0
384,2024-05-16,2000,9,1186,0
385,2024-05-16,2010,0,1173,0
386,2024-05-16,2010,1,1137,0
387,2024-05-16,2010,2,1338,0
388,2024-05-16,2010,3,1182,0
389,2024-05-16,2010,4,1179,0
390,2024-05-16,2010,5,1183,0
391,2024-05-16,2010,6,1394,0
392,2024-05-16,2010,7,1427,0
393,2024-05-16,2010,8,1062,0
394,2024-05-16,2010,9,1079,0
395,2024-05-16,2020,0,1434,0
396,2024-05-16,2020,1,1096,0
397,2024-05-16,2020,2,1032,0
398,2024-05-16,2020,3,1235,0
399,2024-05-16,2020,4,1226,0
400,2024-05-16,2020,5,1018,0
401,2024-05-16,2020,6,1482,0
402,2024-05-16,2020,7,1254,0
403,2024-05-16,2020,8,1124,0
404,2024-05-16,2020,9,1250,0
405,2024-05-16,2030,0,1468,0
406,2024-05-16,2030,1,1311,0
407,2024-05-16,2030,2,1209,0
408,2024-05-16,2030,3,1159,0
409,2024-05-16,2030,4,1189,0
410,2024-05-16,2030,5,1096,0
411,2024-05-16,2030,6,1031,0
412,2024-05-16,2030,7,981,0
413,2024-05-16,2030,8,1058,0
