,Date,Tenbin,Minute,Hits,Misses
9,2024-05-19,0920,9,2901,0
0,2024-05-19,0940,0,3563,0
1,2024-05-19,0940,1,4097,0
2,2024-05-19,0940,2,3323,0
3,2024-05-19,0940,3,3320,0
4,2024-05-19,0940,4,3311,0
5,2024-05-19,0940,5,3115,0
6,2024-05-19,0940,6,3048,0
7,2024-05-19,0940,7,3102,0
8,2024-05-19,0940,8,2918,0
9,2024-05-19,0940,9,2763,0
0,2024-05-19,0950,0,4443,0
1,2024-05-19,0950,1,3176,0
2,2024-05-19,0950,2,2599,0
3,2024-05-19,0950,3,2905,0
4,2024-05-19,0950,4,2842,0
5,2024-05-19,0950,5,2645,0
6,2024-05-19,0950,6,2777,0
7,2024-05-19,0950,7,2574,0
8,2024-05-19,0950,8,2543,0
9,2024-05-19,0950,9,2749,0
0,2024-05-19,1000,0,2536,60744
1,2024-05-19,1000,1,2489,0
2,2024-05-19,1000,2,2606,0
3,2024-05-19,1000,3,2625,0
4,2024-05-19,1000,4,2497,0
5,2024-05-19,1000,5,2462,0
6,2024-05-19,1000,6,2381,0
7,2024-05-19,1000,7,2472,0
8,2024-05-19,1000,8,2915,0
9,2024-05-19,1000,9,45632,283180
0,2024-05-19,1040,0,3773,0
1,2024-05-19,1040,1,3884,0
2,2024-05-19,1040,2,3924,0
3,2024-05-19,1040,3,3813,0
4,2024-05-19,1040,4,3907,0
5,2024-05-19,1040,5,4276,0
6,2024-05-19,1040,6,3670,0
7,2024-05-19,1040,7,3851,0
8,2024-05-19,1040,8,4190,0
9,2024-05-19,1040,9,4033,0
0,2024-05-19,1050,0,3778,0
1,2024-05-19,1050,1,3754,0
2,2024-05-19,1050,2,3813,0
3,2024-05-19,1050,3,3681,0
4,2024-05-19,1050,4,3687,0
5,2024-05-19,1050,5,3822,0
6,2024-05-19,1050,6,3746,0
7,2024-05-19,1050,7,3716,0
8,2024-05-19,1050,8,4080,0
9,2024-05-19,1050,9,3895,0
0,2024-05-19,1100,0,3873,0
1,2024-05-19,1100,1,3958,0
2,2024-05-19,1100,2,3836,0
3,2024-05-19,1100,3,3799,0
4,2024-05-19,1100,4,3782,0
5,2024-05-19,1100,5,54987,70863
6,2024-05-19,1100,6,45693,481004
7,2024-05-19,1100,7,44888,935946
8,2024-05-19,1100,8,39738,481873
9,2024-05-19,1100,9,19645,0
0,2024-05-19,1110,0,9669,0
1,2024-05-19,1110,1,19415,0
2,2024-05-19,1110,2,9705,0
3,2024-05-19,1110,3,6714,0
4,2024-05-19,1110,4,7700,0
5,2024-05-19,1110,5,7226,0
6,2024-05-19,1110,6,4847,0
7,2024-05-19,1110,7,7575,0
8,2024-05-19,1110,8,7456,0
9,2024-05-19,1110,9,7044,0
0,2024-05-19,1130,0,10529,0
1,2024-05-19,1130,1,2625,0
2,2024-05-19,1130,2,2659,0
3,2024-05-19,1130,3,2538,0
4,2024-05-19,1130,4,13900,0
5,2024-05-19,1130,5,4869,0
6,2024-05-19,1130,6,2795,0
7,2024-05-19,1130,7,2548,0
8,2024-05-19,1130,8,2723,0
9,2024-05-19,1130,9,2714,0
0,2024-05-19,1140,0,3641,0
1,2024-05-19,1140,1,2723,0
2,2024-05-19,1140,2,2942,0
3,2024-05-19,1140,3,2836,0
4,2024-05-19,1140,4,2914,0
5,2024-05-19,1140,5,2967,0
6,2024-05-19,1140,6,2995,0
7,2024-05-19,1140,7,3037,0
8,2024-05-19,1140,8,2719,0
9,2024-05-19,1140,9,2708,0
0,2024-05-19,1150,0,2706,0
1,2024-05-19,1150,1,2989,0
2,2024-05-19,1150,2,2852,0
3,2024-05-19,1150,3,2727,0
4,2024-05-19,1150,4,2538,0
5,2024-05-19,1150,5,2771,0
6,2024-05-19,1150,6,2387,0
7,2024-05-19,1150,7,2534,0
8,2024-05-19,1150,8,2622,0
9,2024-05-19,1150,9,2309,0
0,2024-05-19,1200,0,2478,0
1,2024-05-19,1200,1,2706,0
2,2024-05-19,1200,2,2587,0
